epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,20810.4,3.23364,5.02252,5.31648,1.48402,0.54132,0.40847,0.42489,0.16182,0.52154,0.36772,0.37563,0.12996,3.62081,5.79533,6.12037,1.76951,0.00108767,0.00108767,0.00108767
97,21022.2,3.24372,5.02516,5.30691,1.48305,0.55224,0.41519,0.42803,0.15994,0.53045,0.36567,0.371,0.12622,3.661,5.88491,6.04803,1.79259,0.00107216,0.00107216,0.00107216
98,21239.6,3.23237,4.99599,5.27729,1.47906,0.53767,0.41058,0.42424,0.15756,0.51843,0.3661,0.37107,0.12596,3.68827,5.90987,6.16657,1.78319,0.00105664,0.00105664,0.00105664
99,21468.9,3.2161,4.99066,5.25086,1.47607,0.54677,0.42474,0.436,0.16795,0.53173,0.38328,0.39035,0.13876,3.58661,5.77431,5.98749,1.7332,0.0010411,0.0010411,0.0010411
100,21690.5,3.22782,4.99659,5.32929,1.48941,0.54904,0.42089,0.43509,0.16778,0.53004,0.37565,0.38331,0.13482,3.5896,5.79888,6.01298,1.75782,0.00102555,0.00102555,0.00102555
101,21909.6,3.21465,4.985,5.26672,1.47806,0.55553,0.42596,0.4407,0.17134,0.53823,0.3872,0.39771,0.14049,3.56661,5.73112,5.97754,1.74386,0.00101,0.00101,0.00101
102,22135.1,3.20203,4.96502,5.22026,1.47022,0.55092,0.43312,0.44363,0.17171,0.53495,0.39628,0.40168,0.14265,3.55843,5.70448,5.9582,1.73146,0.00099445,0.00099445,0.00099445
103,22361.5,3.19639,4.96826,5.18247,1.46431,0.54357,0.40561,0.41953,0.16094,0.51373,0.35873,0.36378,0.12635,3.62266,5.82065,6.08768,1.80052,0.000978903,0.000978903,0.000978903
104,22585.6,3.20789,4.96071,5.1964,1.47325,0.54583,0.40846,0.42222,0.15795,0.51965,0.36011,0.36441,0.12225,3.68609,5.9365,6.10209,1.77387,0.000963365,0.000963365,0.000963365
105,22806.3,3.19005,4.93551,5.18244,1.46897,0.55622,0.42846,0.44116,0.16761,0.53052,0.38223,0.38536,0.13293,3.61147,5.8213,5.97362,1.75877,0.000947837,0.000947837,0.000947837
106,23026.5,3.19362,4.9666,5.1954,1.47122,0.54957,0.42747,0.44064,0.17003,0.52894,0.38856,0.39325,0.13784,3.57059,5.74158,5.98402,1.74363,0.000932325,0.000932325,0.000932325
107,23246.3,3.19012,4.95744,5.19091,1.47063,0.55995,0.42561,0.43884,0.16611,0.53004,0.38134,0.38469,0.13196,3.62657,5.82913,5.94884,1.76779,0.000916833,0.000916833,0.000916833
108,23464.4,3.18296,4.94838,5.18322,1.46678,0.55268,0.42627,0.43704,0.16517,0.53024,0.37363,0.37809,0.12962,3.65165,5.90134,6.01166,1.78659,0.000901363,0.000901363,0.000901363
109,23687.1,3.1872,4.94158,5.18204,1.46743,0.56124,0.42616,0.43878,0.16886,0.53567,0.37538,0.38148,0.13386,3.60381,5.79909,5.94317,1.77543,0.00088592,0.00088592,0.00088592
110,23908.4,3.16745,4.91033,5.12418,1.46133,0.55805,0.42841,0.43834,0.16741,0.53926,0.38022,0.38684,0.13463,3.6311,5.81339,5.93965,1.76866,0.000870508,0.000870508,0.000870508
